game_name,tags,followers,oweners,num_ytube_vids(one_day)
War Thunder,"['Free to Play', 'Vehicular Combat', 'Combat', 'VR', 'World War II', 'Flight', 'War', 'Military', 'Tanks', 'Naval Combat', 'Simulation', 'Modern', 'Realistic', 'Third-Person Shooter', 'Cold War', 'Third Person', 'Massively Multiplayer', 'Shooter', 'Historical', 'Action']",": 527,411",": 20,000,000 .. 50,000,000",: 50 new videos uploaded yesterday.
Phasmophobia,"['Horror', 'Online Co-Op', 'Multiplayer', 'Psychological Horror', 'Co-op', 'VR', 'Supernatural', 'First-Person', 'Investigation', 'Dark', 'Mystery', 'Demons', 'Detective', 'Early Access', '3D', 'Thriller', 'Indie', 'Action', 'Tactical', 'Lovecraftian']",": 349,441",": 10,000,000 .. 20,000,000",: 50 new videos uploaded yesterday.
Microsoft Flight Simulator 40th Anniversary Edition,"['Simulation', 'Flight', 'Open World', 'Multiplayer', 'Realistic', 'Singleplayer', 'VR', 'Atmospheric', 'Physics', 'Real-Time', 'Adventure', 'Colorful', 'Family Friendly', 'TrackIR', 'Beautiful', 'Surreal', 'Short', 'Controller', 'Epic', 'Psychological Horror']",": 127,143",": 1,000,000 .. 2,000,000",: 2 new videos uploaded yesterday.
DCS World Steam Edition,"['Simulation', 'Flight', 'Free to Play', 'Military', 'Multiplayer', 'Realistic', 'War', 'Open World', 'VR', 'Singleplayer', 'Shooter', 'Action', 'Co-op', 'TrackIR', 'Sandbox', 'First-Person', 'Tanks', 'Strategy', 'Massively Multiplayer', 'FPS']",": 292,341",": 2,000,000 .. 5,000,000",: 1 new videos uploaded yesterday.
VRChat,"['VR', 'Free to Play', 'Memes', 'Anime', 'Multiplayer', 'Funny', 'Massively Multiplayer', 'First-Person', 'Early Access', 'Open World', 'Simulation', 'Casual', 'Adventure', 'MMORPG', 'Comedy', 'Sandbox', 'Action', 'Dating Sim', 'Survival Horror', 'Atmospheric']",: 0,": 10,000,000 .. 20,000,000",: 50 new videos uploaded yesterday.
Assetto Corsa Competizione,"['Racing', 'Automobile Sim', 'Simulation', 'VR', 'Driving', 'Multiplayer', 'Sports', 'Realistic', 'Singleplayer', 'Controller', 'Early Access', 'e-sports', 'Open World', 'First-Person', 'Competitive', 'Atmospheric', 'Online Co-Op', 'Difficult', 'Moddable']",": 99,631",": 1,000,000 .. 2,000,000",: 50 new videos uploaded yesterday.
Assetto Corsa,"['Racing', 'Automobile Sim', 'Simulation', 'Driving', 'Multiplayer', 'Realistic', 'VR', 'Sports', 'Moddable', 'Controller', 'Physics', 'Singleplayer', 'Open World', 'First-Person', 'Indie', 'Replay Value', 'Action', '3D Vision', 'TrackIR', 'Artificial Intelligence']",: 0,": 2,000,000 .. 5,000,000",: 50 new videos uploaded yesterday.
Escape the Backrooms,"['Horror', 'Multiplayer', 'Psychological Horror', 'Online Co-Op', 'First-Person', 'Survival Horror', 'Adventure', 'Co-op', 'Action', 'Exploration', 'Indie', 'Early Access', '3D', 'Escape Room', 'Singleplayer', 'Action-Adventure', 'Casual', 'VR', 'Dungeon Crawler', 'Stealth']",": 45,521",": 500,000 .. 1,000,000",: 50 new videos uploaded yesterday.
Beat Saber,"['VR', 'Rhythm', 'Music', 'Great Soundtrack', 'Moddable', 'Fast-Paced', 'Indie', 'Singleplayer', 'First-Person', 'Difficult', 'Multiplayer', 'Swordplay', 'Action', 'Sports', 'Futuristic', 'Casual', 'Music-Based Procedural Generation', 'Games Workshop', 'Early Access', 'Anime', 'VR Only']",": 155,377",": 2,000,000 .. 5,000,000",: 50 new videos uploaded yesterday.
iRacing,"['Racing', 'Automobile Sim', 'Simulation', 'Sports', 'VR', 'Massively Multiplayer', 'Driving', 'Multiplayer', 'Realistic', 'Singleplayer', 'e-sports', 'Controller', 'First-Person', 'Open World']",": 38,386",": 200,000 .. 500,000",: 50 new videos uploaded yesterday.
No Man's Sky,"['Open World', 'Open World Survival Craft', 'Space', 'Exploration', 'Sci-fi', 'Survival', 'Procedural Generation', 'Adventure', 'First-Person', 'Sandbox', 'Singleplayer', 'Multiplayer', 'Atmospheric', 'Crafting', 'Space Sim', 'Indie', 'Action', 'Simulation', 'FPS', 'VR']",": 750,703",": 5,000,000 .. 10,000,000",: 50 new videos uploaded yesterday.
HITMAN 3,"['Action', 'Stealth', 'Assassin', 'Sandbox', 'Singleplayer', 'VR', 'Adventure', 'Violent', 'Shooter', 'Third-Person Shooter', 'Third Person', 'Cinematic', 'Realistic', 'Funny', 'Gore', 'Puzzle', 'Immersive Sim', 'Open World', 'Capitalism', 'Multiplayer']",": 45,952",": 1,000,000 .. 2,000,000",: 50 new videos uploaded yesterday.
Tabletop Simulator,"['Tabletop', 'Board Game', 'Simulation', 'Multiplayer', 'Sandbox', 'Card Game', 'Trading Card Game', 'VR', 'Physics', 'Casual', '3D', 'Moddable', 'Strategy', 'Wargame', 'Online Co-Op', 'Co-op', 'RPG', 'Funny', 'First-Person', 'Indie']",: 0,": 2,000,000 .. 5,000,000",: 7 new videos uploaded yesterday.
Ghosts of Tabor,"['Early Access', 'Action', 'Shooter', 'Exploration', 'VR', 'Immersive Sim', 'Looter Shooter', 'Atmospheric', 'Dystopian ', 'Military', 'Character Customization', 'Combat', 'Inventory Management', 'Crafting', 'Physics', 'PvE', 'PvP', 'Trading', 'Tutorial', 'Multiplayer', 'VR Only']",": 8,653",": 100,000 .. 200,000",: 45 new videos uploaded yesterday.
VTOL VR,"['Flight', 'VR', 'Simulation', 'Combat', 'Jet', 'Military', 'War', 'Realistic', 'Vehicular Combat', 'Action', 'Physics', 'Naval Combat', 'Artificial Intelligence', '6DOF', 'Singleplayer', 'Level Editor', 'Futuristic', 'First-Person', 'Multiplayer', 'Sandbox', 'VR Only']",": 22,879",": 500,000 .. 1,000,000",: 13 new videos uploaded yesterday.
Half-Life: Alyx,"['VR', 'FPS', 'Story Rich', 'Horror', 'Female Protagonist', 'Shooter', 'First-Person', 'Singleplayer', 'Action', 'Zombies', 'Sci-fi', 'Atmospheric', 'Beautiful', 'Adventure', 'Aliens', 'Futuristic', 'Psychological Horror', 'Memes', 'Great Soundtrack', 'Gore', 'VR Only']",": 236,688",": 2,000,000 .. 5,000,000",: 50 new videos uploaded yesterday.
Resident Evil Village,"['Survival Horror', 'Horror', 'First-Person', 'Singleplayer', 'Sexual Content', 'Action', 'Zombies', 'Gore', 'Story Rich', 'Atmospheric', 'Violent', 'FPS', 'Dark', 'Psychological Horror', 'Survival', 'Adventure', 'Open World', 'Multiplayer', 'VR', 'Nudity']",": 175,936",": 2,000,000 .. 5,000,000",: 50 new videos uploaded yesterday.
Gorilla Tag,"['Psychological Horror', 'VR', 'Multiplayer', 'Parkour', 'Horror', 'First-Person', 'Funny', 'Survival Horror', '3D', '3D Platformer', 'Action', 'PvP', 'Platformer', 'Casual', 'Nature', 'Physics', '6DOF', 'Early Access', 'NSFW', 'Minimalist', 'VR Only']",": 33,302",": 500,000 .. 1,000,000",: 50 new videos uploaded yesterday.
War Robots,"['Free to Play', 'Action', 'Robots', 'Multiplayer', 'Shooter', 'Mechs', 'FPS', 'PvP', 'Massively Multiplayer', 'Controller', 'War', 'First-Person', 'Third-Person Shooter', 'Third Person', 'Co-op', 'Strategy', 'Singleplayer', 'MMORPG', 'VR', 'RPG']",": 36,124",": 1,000,000 .. 2,000,000",: 50 new videos uploaded yesterday.
Blade and Sorcery,"['VR', 'Swordplay', 'Action', 'Moddable', 'Gore', 'Violent', 'Magic', 'Sandbox', 'Simulation', 'Physics', 'Fighting', 'Medieval', 'First-Person', 'Singleplayer', 'Fantasy', 'Adventure', 'Early Access', 'Indie', 'RPG', 'Games Workshop', 'VR Only']",": 68,460",": 2,000,000 .. 5,000,000",: 50 new videos uploaded yesterday.
Breachers,"['Action', 'Shooter', 'FPS', 'VR', '3D', 'First-Person', 'Tactical', 'PvP', 'Military', 'Combat', 'Multiplayer', 'Co-op', 'Online Co-Op', 'Singleplayer']",": 3,707",": 0 .. 20,000",: 50 new videos uploaded yesterday.
