game_name,active_plyrs(min),active_plyrs(24hrs),pos_reviews,gross_rev,units_sold
War Thunder,"41,688","85,201",78.6%,nan,23.2m,637.2 hours,190.9 hours
Phasmophobia,"11,747","20,199",96.7%,$170.7m,16.4m,63.8 hours,41.2 hours
Microsoft Flight Simulator 40th Anniversary Edition,"4,146","9,045",78.1%,$63.4m,1.4m,247.7 hours,109.1 hours
DCS World Steam Edition,"1,053","1,895",86.1%,nan,1m,211.3 hours,50.5 hours
VRChat,"26,136","36,530",72.1%,nan,4.3m,472.4 hours,38.1 hours
Assetto Corsa Competizione,"1,362","7,726",91.7%,$21.5m,812k,222 hours,76.3 hours
Assetto Corsa,"5,612","14,539",92.3%,$57.4m,3.9m,194.4 hours,63.7 hours
Escape the Backrooms,951,"1,839",87.8%,$4.1m,524k,6.6 hours,4.2 hours
Beat Saber,779,"1,266",95.9%,$27.2m,1.3m,94.5 hours,45.7 hours
iRacing,121,280,86.4%,$752k,120k,259.7 hours,65.3 hours
No Man's Sky,"10,367","17,453",77.7%,$119.1m,3m,131.8 hours,62.6 hours
HITMAN 3,"1,358","2,501",83.3%,$15.3m,386k,39.5 hours,22.9 hours
Tabletop Simulator,"6,099","8,380",93.9%,$75.2m,5.8m,181.9 hours,49 hours
Ghosts of Tabor,499,682,79.8%,$862k,"53,910"
VTOL VR,480,661,98%,$7.7m,345k,42.8 hours,22 hours
Half-Life: Alyx,346,702,98.4%,$104.7m,2.4m,30.1 hours,18 hours
Resident Evil Village,"1,108","2,118",95.8%,$123.5m,2.7m,31.4 hours,22.2 hours
Gorilla Tag,746,"1,548",90.1%,$9.5m,890k,35.6 hours,9.1 hours
War Robots,"1,194","2,186",62.6%,nan,361k,304.4 hours,35.6 hours
Blade and Sorcery,"1,010","1,540",96.8%,$12m,782k,63.9 hours,35.3 hours
Breachers,217,317,92.1%,$299k,"12,480"
Resident Evil 7 Biohazard,659,"1,337",95%,$43.7m,1.5m,29.5 hours,17.2 hours
Universe Sandbox,368,661,96.2%,$13m,651k,64.9 hours,16.1 hours
Elite Dangerous,"3,311","6,548",77.6%,$69.1m,3.2m,456.7 hours,182.4 hours
DEVOUR,"1,107","1,877",91.8%,$6.5m,1.8m,15.4 hours,8.5 hours
High On Life,153,261,89.1%,$13.9m,291k,14.5 hours,11.6 hours
MX Bikes,"1,650","2,371",94%,$3.3m,123k,224.8 hours,102.3 hours
CarX Drift Racing Online,"1,838","3,298",95.5%,$13.1m,1.3m,111.7 hours,44.2 hours
SpaceEngine,155,258,95.7%,$3.2m,175k,53.9 hours,11.7 hours
Vertigo 2,105,189,96.9%,$509k,"21,210"
Alien: Isolation,343,601,92.9%,$58.3m,2m,34.6 hours,22.7 hours
Rec Room,"1,567","2,983",91.4%,nan,1.5m,102.5 hours,18.1 hours
STAR WARS™: Squadrons,243,432,68.1%,$20.1m,717k,32 hours,14.2 hours
BONELAB,160,300,77.2%,$10.6m,335k,9 hours,8.1 hours
Pavlov VR,487,717,94.2%,$9.6m,677k,106.8 hours,38 hours
The Walking Dead: Saints & Sinners - Chapter 2: Retribution,77,134,70.3%,$617k,"19,290"
F1® 22,"2,092","8,149",68.8%,$26.1m,667k,67.6 hours,47.8 hours
Inside the Backrooms,"1,816","5,812",85%,$3.9m,974k,10.3 hours,7.4 hours
Into the Radius VR,168,283,93.9%,$4.8m,228k,30.6 hours,17.3 hours
Fishing Planet,"1,376","3,542",85.7%,nan,1m,190.3 hours,35.3 hours
DiRT Rally 2.0,642,"1,746",86.8%,$16.8m,724k,90 hours,33.3 hours
Train Simulator Classic,344,"1,659",69.9%,$21.3m,1m,401.5 hours,59.2 hours
IL-2 Sturmovik: Battle of Stalingrad,207,532,80.5%,$8.2m,270k,218.5 hours,57 hours
Keep Talking and Nobody Explodes,179,310,97.8%,$12.9m,1.3m,16.4 hours,6.3 hours
The Elder Scrolls V: Skyrim VR,227,353,75.8%,$12.5m,305k,67.6 hours,19.4 hours
BONEWORKS,74,181,92.1%,$22.6m,999k,40.4 hours,23.8 hours
"Hot Dogs, Horseshoes & Hand Grenades",319,475,97%,$1.2m,"77,665",98 hours,50.2 hours
AMID EVIL VR,21,31,94.8%,"$41,449","2,880"
Tetris® Effect: Connected,162,190,95.5%,$4m,153k,28.2 hours,12.9 hours
Golf It!,"1,754","2,080",89.7%,$15.1m,2.5m,35.3 hours,14.7 hours
Tactical Assault VR,53,63,88.5%,$113k,"11,490"
Walkabout Mini Golf VR,115,145,98.4%,$734k,"65,820",17.4 hours,10.6 hours
Pinball FX,98,152,52.4%,nan,"8,190"
X-Plane 12,171,440,75.9%,$1.7m,"38,100",59.3 hours,23.5 hours
Contractors,104,138,84.9%,$771k,"53,603",53.3 hours,10.4 hours
FOREWARNED,112,145,91.2%,$1.2m,132k,19.6 hours,11.9 hours
SUPERHOT VR,56,107,73.7%,$12.3m,711k,9 hours,4.4 hours
The Light Brigade,10,27,94.8%,$299k,"14,940"
VTOL VR: T-55 Tyro - Trainer Jet,nan,nan,nan,nan,nan
DCS: F/A-18C Hornet,nan,nan,nan,nan,nan
RealFlight Evolution,274,333,79.2%,$323k,"5,760"
Blood Trail,47,55,79.1%,$1.2m,"62,138",19 hours,6.7 hours
rFactor 2,160,"1,023",80.4%,$5.9m,268k,386.6 hours,91.5 hours
City Car Driving,147,656,81.8%,$6.8m,410k,69.2 hours,25.2 hours
Automobilista 2,239,800,90.4%,$4.7m,181k,115.1 hours,49.6 hours
FIVE NIGHTS AT FREDDY'S: HELP WANTED,29,60,96.6%,$7.2m,339k,17 hours,9.9 hours
The Walking Dead: Saints & Sinners,53,98,88.3%,$7.4m,253k,22.1 hours,15.1 hours
Vertigo Remastered,44,58,93.6%,$485k,"27,120",9.5 hours,5.2 hours
Project Wingman,113,183,94.4%,$7.1m,393k,31.8 hours,21.1 hours
OVR Toolkit,"1,032","1,469",89%,$478k,"52,773",657.2 hours,223.2 hours
Ghost Watchers,142,586,86.6%,$3.7m,343k,12.5 hours,9.5 hours
Hellish Quart,51,87,91.4%,$1.8m,157k,14.5 hours,6.1 hours
PULSAR: Lost Colony,164,249,91.1%,$2.7m,148k,53.1 hours,28.2 hours
Zenith: The Last City,70,123,82%,$2.4m,110k,21.9 hours,12.1 hours
Hellsplit: Arena,17,39,85.2%,$2m,108k,13.7 hours,8.4 hours
DCS: F-16C Viper,nan,nan,nan,nan,nan
CUSTOM ORDER MAID 3D2 It's a Night Magic,20,31,84%,$1.5m,"50,192",127.7 hours,13.2 hours
HARD BULLET,21,59,87.1%,$1.4m,"93,900",12.5 hours,7.4 hours
VTOL VR: AH-94 Attack Helicopter,nan,nan,nan,nan,nan
VR Kanojo / VRカノジョ,6,9,75.4%,$1.8m,"50,895",56 hours,2.4 hours
Ancient Dungeon,11,21,95.9%,$363k,"23,700",13.2 hours,6.1 hours
Job Simulator,37,187,90.6%,$12.1m,724k,19 hours,7.3 hours
Virtual Desktop,89,133,69.9%,$1.2m,107k,119 hours,10.7 hours
RUMBLE,31,50,84.8%,$646k,"42,180",11.8 hours,7.7 hours
DCS: F-14A/B Tomcat,nan,nan,nan,nan,nan
Fallout 4 VR,42,92,61.9%,$11.9m,281k,46.4 hours,11.6 hours
RIDE 4,161,557,81.2%,$8m,256k,72.7 hours,28.8 hours
Legendary Tales,16,25,82.3%,$1.4m,"52,830",24 hours,13.8 hours
After the Fall®,55,121,77.4%,$1.9m,"66,720",24.2 hours,10 hours
Microsoft Flight Simulator X: Steam Edition,593,"1,077",86.1%,$13.4m,823k,411.8 hours,85.5 hours
PokerStars VR,64,69,84.7%,nan,"41,208",87 hours,23.3 hours
Rick and Morty: Virtual Rick-ality,2,18,74.7%,$3.2m,148k,6 hours,3.4 hours
Onward,66,92,69.2%,$4.9m,266k,86.1 hours,22.2 hours
Cooking Simulator VR,3,19,83.5%,$607k,"34,020",4.5 hours,3.1 hours
Among Us VR,15,42,76.7%,$487k,"60,960",7.9 hours,2.3 hours
The Last Clockwinder,5,26,98.4%,$210k,"11,130"
Zero Caliber VR,24,54,78.2%,$2.2m,123k,18.9 hours,10.1 hours
Pistol Whip,18,37,93.3%,$2m,103k,14.7 hours,7.1 hours
Pistol Whip,18,37,93.3%,$2m,103k,14.7 hours,7.1 hours
Arizona Sunshine®,19,134,79.8%,$9.6m,359k,18.4 hours,7.8 hours
Myst,16,27,89.4%,$707k,"30,780",8.5 hours,6.1 hours
Kayak VR: Mirage,4,11,87.1%,$306k,"18,630",3.1 hours,1.4 hours
Driver4VR,nan,nan,nan,nan,nan
X-Plane 11,471,"1,137",92.6%,$14.1m,333k,422.2 hours,135.2 hours
I Expect You To Die 2,2,13,96.6%,$516k,"28,530",6.6 hours,4.9 hours
Green Hell VR,11,24,76.7%,$385k,"21,210",13.8 hours,6.3 hours
Derail Valley,44,117,94%,$1.7m,109k,72.5 hours,36.6 hours
Elite Dangerous: Odyssey,nan,nan,nan,nan,nan
F1® 2021,264,948,85.6%,$41.8m,1.1m,152.5 hours,98 hours
XSOverlay,775,"1,174",90.3%,$195k,"25,590",984.1 hours,513.7 hours
Star Trek™: Bridge Crew,19,21,76.6%,$3m,107k,21.6 hours,10.3 hours
Ragnarock,19,44,95%,$1.1m,"75,450",15.9 hours,7.4 hours
LOST EMBER - VR Edition,1,2,55.6%,"$34,698","1,890"
Synth Riders,11,26,92.9%,$616k,"39,330",39.7 hours,10.4 hours
Townsmen VR,5,21,81.5%,$187k,"11,520"
SENRAN KAGURA Peach Beach Splash,12,31,80.4%,$1.9m,"75,146",43 hours,9.4 hours
Survival Nation,2,7,73.2%,"$65,359","2,910"
POPULATION: ONE,45,89,84%,$1.6m,"70,980",83.2 hours,13.6 hours
NoLimits 2 Roller Coaster Simulation,47,128,95.6%,$1.4m,"45,945",434 hours,83.1 hours
Aerofly FS 4 Flight Simulator,10,38,82.4%,$359k,"7,830"
The Thrill of the Fight - VR Boxing,9,27,95.5%,$757k,102k,19.2 hours,5.3 hours
I Expect You To Die,9,21,94.5%,$2.3m,136k,8.1 hours,5.6 hours
Spooky's Jump Scare Mansion: HD Renovation,13,42,95.8%,$684k,"95,980",24.3 hours,10.7 hours
Medal of Honor™: Above and Beyond,6,13,61.7%,$2.6m,"64,710",13.4 hours,9.4 hours
Vacation Simulator,6,33,91.4%,$312k,"13,468",18.3 hours,10.1 hours
GORN,10,30,94.2%,$3.2m,225k,18.9 hours,9.4 hours
Hand Simulator,95,191,84.1%,$6.2m,4.7m,11.9 hours,4.9 hours
One-armed cook,386,"1,290",93.3%,nan,332k,1.9 hours,1.2 hours
Guardians Frontline,10,12,86.6%,"$58,839","4,020"
Creed: Rise to Glory™,9,32,79.6%,$1.3m,"63,295",10 hours,3.6 hours
The Room VR: A Dark Matter,3,9,97.6%,$1.9m,"92,400",5.9 hours,4.6 hours
Drunkn Bar Fight,3,13,74.7%,$358k,"36,067",10.6 hours,3 hours
SURV1V3,8,21,82.1%,$912k,"49,380",30.4 hours,13.4 hours
Noun Town: VR Language Learning,3,4,91.2%,"$22,647","2,070"
Duck Season,2,8,84.1%,$916k,"62,500",5 hours,3 hours
EVERSPACE™,52,126,79%,$12.7m,665k,36.2 hours,18.4 hours
Wrench,5,16,91.3%,$490k,"26,004",34.9 hours,16.6 hours
All-In-One Sports VR,16,39,84.2%,$222k,"14,280"
Megaton Rainfall,2,12,71.7%,$746k,"65,092",6.5 hours,4 hours
I'm on Observation Duty 3,3,9,80.5%,"$12,918","5,700"
Steel Crew,1,7,87.1%,$171k,"12,330"
Touge Shakai,15,35,82.1%,"$98,229","8,190"
RaceRoom Racing Experience,143,809,73.6%,nan,909k,116.3 hours,12.1 hours
HereSphere VR Video Player,13,26,90.6%,"$72,864","3,180"
Kill It With Fire VR,6,8,92.3%,"$9,714",810
Swordsman VR,2,6,73.8%,$211k,"14,430"
VAIL VR,29,44,81.5%,$376k,"31,380",47.9 hours,6.3 hours
Moss: Book II,5,15,99.2%,$175k,"7,380"
WGT Golf,175,266,61.9%,nan,"62,520",134 hours,6.5 hours
Vermillion - VR Painting,3,6,95.6%,$220k,"14,940"
Budget Cuts,7,13,80.4%,$1.4m,"69,230",9.7 hours,6.1 hours
Trover Saves the Universe,5,9,91.6%,$1.9m,"84,783",10.3 hours,7.3 hours
Eleven Table Tennis,7,25,95.1%,$1.5m,136k,27.9 hours,7.7 hours
Project CARS 3,22,77,53.9%,$4.1m,"95,790",44.4 hours,16.4 hours
PRO ERA,5,5,70.2%,"$82,065","3,420"
Hubris,2,5,76.2%,$332k,"11,220"
Psychonauts in the Rhombus of Ruin,2,4,87.7%,$124k,"9,821"
Thief Simulator VR,4,7,69.5%,$353k,"29,640",8.6 hours,3.4 hours
Chess Ultra,10,34,74.9%,$493k,"57,655",24.8 hours,7.7 hours
SEGA Mega Drive and Genesis Classics,49,115,84.7%,$20.4m,5.1m,27.7 hours,6.5 hours
cyubeVR,0,10,92.2%,$356k,"24,975",17.5 hours,4.8 hours
Until You Fall,2,14,94.6%,$1.4m,"88,170",11.3 hours,5.8 hours
Bullet Roulette VR,2,7,83.6%,"$65,681","13,920"
aerofly RC 8,4,10,82.5%,$138k,"2,400"
Garden of the Sea,5,14,93.5%,$210k,"17,040",9.2 hours,5.9 hours
fpsVR,213,331,97.8%,$182k,"61,879",471.4 hours,161.9 hours
Paradox of Hope VR,3,7,90.3%,$206k,"14,280"
IronWolf VR,0,9,95.6%,$451k,"30,810",13.9 hours,7.9 hours
Borderlands 2 VR,2,9,55%,$1.5m,"45,568",29.3 hours,4.8 hours
Red Matter 2,0,8,94.1%,$199k,"8,580"
World of Warplanes,99,184,74.8%,nan,110k,107.7 hours,13.1 hours
The Bus,11,168,76.2%,$2.5m,133k,21.8 hours,8.5 hours
Surgeon Simulator,15,30,82.3%,$13.2m,2.3m,9.7 hours,4.7 hours
iVRy Driver for SteamVR,3,5,72.6%,nan,"4,321"
Tiny Town VR,5,20,92.3%,$178k,"15,473",50.7 hours,18.2 hours
DCS: P-47D Thunderbolt,nan,nan,nan,nan,nan
MOTHERGUNSHIP: FORGE,1,11,93.1%,"$79,928","5,190"
Rolling Line,25,82,95.6%,$351k,"27,223",155 hours,43.2 hours
Rez Infinite,1,3,92.2%,$631k,"39,086",9.3 hours,4.1 hours
Moss,4,13,95.1%,$1.1m,"54,170",6.2 hours,5 hours
TribeXR DJ School,1,3,92.1%,"$94,759","4,993"
Surgeon Simulator: Experience Reality,4,8,50.4%,$1.8m,138k,3.5 hours,1.4 hours
Wanderer,20,52,85.4%,$613k,"20,970",10.9 hours,10.4 hours
Warplanes: Battles over Pacific,0,3,80.7%,"$42,996","3,420"
War Dust VR: 32v32 Battlefields,5,26,80.7%,$742k,"46,260",94.5 hours,13.6 hours
Five Nights at Freddy's: Help Wanted - Curse of Dreadbear,nan,nan,nan,nan,nan
Cosmonious High,4,16,96.8%,$131k,"5,700"
Budget Cuts 2: Mission Insolvency,1,6,80.8%,$284k,"13,560"
VoiceAttack,88,132,96.3%,$160k,"17,687",373.2 hours,70.5 hours
Ghosts of Tabor - Nuclear Night Edition Upgrade,nan,nan,nan,nan,nan
Fast and Low,4,12,79.5%,$209k,"13,088",12.1 hours,7.8 hours
DCS: Mi-24P HIND,nan,nan,nan,nan,nan
Space Pirate Trainer,4,17,94.4%,$2.5m,224k,13.9 hours,5.9 hours
Tales Of Glory,4,8,81.2%,$568k,"26,280",21.9 hours,10.4 hours
Kingspray Graffiti VR,4,13,84.2%,$348k,"29,901",36.5 hours,8.4 hours
Karnage Chronicles,4,10,85.3%,$620k,"36,960",12.8 hours,9 hours
Overload,12,19,94.3%,$593k,"27,917",80.7 hours,12.9 hours
Master Bladesmith,2,5,83.2%,$226k,"10,920"
REQUISITION VR,1,5,77.4%,$130k,"8,880"
Jetborne Racing,0,4,90.3%,"$81,976","12,990"
